"election_year","state","type","party","value","party_short","candidate","candidate_state","vp","vp_state","candidate_state_abb","vp_state_abb"
2000,"FL","popvote","others",138067,NA,NA,NA,NA,NA,NA,NA
2000,"FL","evote","diff",-25,NA,NA,NA,NA,NA,NA,NA
2000,"FL","popvote","diff",-537,NA,NA,NA,NA,NA,NA,NA
2000,"FL","popvoteperc","democrat",0.488378212040361,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"FL","popvoteperc","republican",0.488468265720404,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"FL","popvoteperc","diff",-9.00536800428342e-05,NA,NA,NA,NA,NA,NA,NA
2000,"GA","evote","republican",13,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"GA","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"GA","popvote","republican",1419720,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"GA","popvote","democrat",1116230,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"GA","popvote","others",60854,NA,NA,NA,NA,NA,NA,NA
2000,"GA","evote","diff",-13,NA,NA,NA,NA,NA,NA,NA
2000,"GA","popvote","diff",-303490,NA,NA,NA,NA,NA,NA,NA
2000,"GA","popvoteperc","democrat",0.429847612680818,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"GA","popvoteperc","republican",0.546718196675606,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"GA","popvoteperc","diff",-0.116870583994787,NA,NA,NA,NA,NA,NA,NA
2000,"HI","evote","republican",0,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"HI","evote","democrat",4,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"HI","popvote","republican",137845,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"HI","popvote","democrat",205286,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"HI","popvote","others",24820,NA,NA,NA,NA,NA,NA,NA
2000,"HI","evote","diff",4,NA,NA,NA,NA,NA,NA,NA
2000,"HI","popvote","diff",67441,NA,NA,NA,NA,NA,NA,NA
2000,"HI","popvoteperc","democrat",0.557916679123035,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"HI","popvoteperc","republican",0.374628686971907,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"HI","popvoteperc","diff",0.183287992151129,NA,NA,NA,NA,NA,NA,NA
2000,"ID","evote","republican",4,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"ID","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"ID","popvote","republican",336937,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"ID","popvote","democrat",138637,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"ID","popvote","others",26047,NA,NA,NA,NA,NA,NA,NA
2000,"ID","evote","diff",-4,NA,NA,NA,NA,NA,NA,NA
2000,"ID","popvote","diff",-198300,NA,NA,NA,NA,NA,NA,NA
2000,"ID","popvoteperc","democrat",0.276377982580474,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"ID","popvoteperc","republican",0.671696360399585,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"ID","popvoteperc","diff",-0.39531837781911,NA,NA,NA,NA,NA,NA,NA
2000,"IL","evote","republican",0,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"IL","evote","democrat",22,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"IL","popvote","republican",2019421,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"IL","popvote","democrat",2589026,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"IL","popvote","others",133676,NA,NA,NA,NA,NA,NA,NA
2000,"IL","evote","diff",22,NA,NA,NA,NA,NA,NA,NA
2000,"IL","popvote","diff",569605,NA,NA,NA,NA,NA,NA,NA
2000,"IL","popvoteperc","democrat",0.545963485131027,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"IL","popvoteperc","republican",0.425847452712635,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"IL","popvoteperc","diff",0.120116032418392,NA,NA,NA,NA,NA,NA,NA
2000,"IN","evote","republican",12,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"IN","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"IN","popvote","republican",1245836,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
